Rural_Area,Quantity,Percentage,country_name,job_name
No,1,0.02,Czechia,Data Processing Services Sales Representative
No,2,0.04,Czechia,Computer or Data Processing Systems Consultant
No,1,0.02,Germany,Data Reduction Technician
No,1,0.02,Germany,Data Processing Equipment Repairer
No,4,0.07,Germany,Database Analyst
No,2,0.04,Germany,Data Keyer
No,2,0.04,Germany,Marketing Database Analyst
No,7,0.12,Germany,Data Coordinator
No,1,0.02,Germany,Data Conversion Operator
No,4,0.07,Germany,Database Marketing Analyst
No,1,0.02,Germany,Naval Tactical Data System--Combat Information Center Officer
No,2,0.04,Germany,Database Administration Project Manager
No,2,0.04,Germany,Database Security Administrator
No,2,0.04,Germany,Flight Data Technician
No,3,0.05,Germany,Database Tester
No,2,0.04,Germany,Clinical Data Management Associate Director
No,5,0.09,Germany,Electronic Data Interchange System Developer (EDI System Developer)
No,7,0.12,Germany,Data Administrator
No,2,0.04,Germany,Data Processing Auxiliary Equipment Operator
No,8,0.14,Germany,Database Engineer
No,2,0.04,Germany,"Naval Tactical Data System--Combat Information Center Watch Officer, General"
No,9,0.16,Germany,Data Storage Specialist
No,6,0.11,Germany,Database Administration Manager
No,3,0.05,Germany,Data Management Associate
No,7,0.12,Germany,Data Modeling Specialist
No,1,0.02,Germany,Data Processing Control Clerk
No,8,0.14,Germany,Database Software Technician
No,9,0.16,Germany,Head of Information Systems and Data Processing
No,2,0.04,Germany,Data Entry Supervisor
No,1,0.02,Germany,Clinical Data Coordinator
No,3,0.05,Germany,Data Warehousing Engineer
No,7,0.12,Germany,Data Warehousing Specialist
No,10,0.18,Germany,Geographic Information Systems Data Specialist (GIS Data Specialist)
No,5,0.09,Germany,Database Development and Administration Project Manager
No,7,0.12,Germany,Data Warehouse Analyst
No,1,0.02,Germany,Field Artillery Automated Tactical Data System Specialist
No,1,0.02,Germany,Data Input Clerk
No,11,0.19,Germany,Database Management System Specialist (DBMS Specialist)
No,1,0.02,Germany,Data Recovery Planner
No,1,0.02,Germany,Data Abstractor
No,3,0.05,Germany,Data Collection Technician
No,9,0.16,Germany,Database Modeler
No,6,0.11,Germany,Data Base Design Analyst
No,1,0.02,Germany,Flight Test Data Acquisition Technician
No,1,0.02,Germany,Clinical Data Associate
No,3,0.05,Germany,Database Designer
No,6,0.11,Germany,Database Administration Associate
No,1,0.02,Germany,Data Entry Machine Operator
No,8,0.14,Germany,Geographic Information Systems Data Manager (GIS Data Manager)
No,4,0.07,Germany,Database Design Analyst
No,1,0.02,Germany,LiDAR Data Analyst
No,6,0.11,Germany,Database Specialist
No,2,0.04,Germany,Data Entry Technician
No,1,0.02,Germany,Health Data Analyst
No,1,0.02,Germany,Clinical Data Management Manager (CDM Manager)
No,2,0.04,Germany,Databases Software Consultant
No,3,0.05,Germany,Automatic Data Processing Systems Security Specialist (ADP Systems Security)
No,8,0.14,Germany,Data Management Information Technology Specialist
No,13,0.23,Germany,Data Officer
No,2,0.04,Germany,Data Typist
No,8,0.14,Germany,Data Warehouse Architect
No,10,0.18,Germany,Data Warehouse Specialist
No,1,0.02,Germany,Medical Data Analyst
No,1,0.02,Germany,Clinical Trials Data Coordinator
No,7,0.12,Germany,Database Coordinator
No,5,0.09,Germany,Data Systems Manager
No,8,0.14,Germany,Data Warehouse Developer
No,5,0.09,Germany,Automatic Data Processing Planner
No,8,0.14,Germany,Data Processing Consultant
No,6,0.11,Germany,Data Communications Software Consultant
No,2,0.04,Germany,Data Scientist
No,8,0.14,Germany,Electronic Data Processing Auditor (EDP Auditor)
No,9,0.16,Germany,Internet Database Specialist
No,2,0.04,Germany,Data Entry Representative
No,7,0.12,Germany,Data Security Analyst
No,6,0.11,Germany,Geographic Information Systems Data Administrator (GIS Data Administrator)
No,10,0.18,Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)"
No,7,0.12,Germany,Automatic Data Processing Planner (ADP Planner)
No,7,0.12,Germany,Database Manager
No,1,0.02,Germany,Database Programmer
No,5,0.09,Germany,Data Processing Manager
No,1,0.02,Germany,Micro Computer Data Processor
No,1,0.02,Germany,Database Development Project Manager
No,1,0.02,Germany,Data Specialist
No,4,0.07,Germany,Data Processing Systems Project Planner
No,1,0.02,Germany,Data Technician
No,1,0.02,Germany,Data Center Manager
No,1,0.02,Germany,Business Database Analyst
No,2,0.04,Germany,Datastage Developer
No,5,0.09,Germany,Database Architect
No,4,0.07,Germany,Data Center Operator
No,1,0.02,Germany,SCADA Operator (Supervisory Control and Data Acquisition Operator)
No,2,0.04,Germany,Data Processing Auditor
No,5,0.09,Germany,Data Communications Analyst
No,9,0.16,Germany,Oracle Database Administrator (Oracle DBA)
No,3,0.05,Germany,GPS Field Data Collector (Global Positioning System Field Data Collector)
No,5,0.09,Germany,Data Warehousing Manager
No,1,0.02,Germany,Data Sciences Director
No,3,0.05,Germany,Clinical Data Abstractor
No,8,0.14,Germany,Data Architect
No,8,0.14,Germany,Geographic Information Systems Database Administrator (GIS Database Administrator)
No,5,0.09,Germany,SQL Database Administrator
No,6,0.11,Germany,Automatic Data Processing Customer Liaison (ADP Customer Liaison)
No,1,0.02,Germany,Customer Data Technician
No,4,0.07,Germany,Director of Data Operations
No,1,0.02,Germany,Data Miner
No,12,0.21,Germany,Database Consultant
No,3,0.05,Germany,Database Security Expert
No,4,0.07,Germany,Data Processing Systems Analyst
No,5,0.09,Germany,Databases Computer Consultant
No,7,0.12,Germany,Data Security Administrator
No,3,0.05,Germany,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller"
No,1,0.02,Germany,Data Processor
No,1,0.02,Germany,Clinical Data Analyst
No,2,0.04,Germany,Voice and Data Technician
No,2,0.04,Germany,Database Developer
No,3,0.05,Germany,Data Processing Services Sales Representative
No,3,0.05,Germany,Log Data Technician
No,2,0.04,Germany,Field Traffic Data Technician
No,7,0.12,Germany,Computer or Data Processing Systems Consultant
No,2,0.04,Denmark,Data Coordinator
No,2,0.04,Denmark,Database Tester
No,2,0.04,Denmark,Electronic Data Interchange System Developer (EDI System Developer)
No,2,0.04,Denmark,Data Storage Specialist
No,2,0.04,Denmark,Database Development and Administration Project Manager
No,1,0.02,Denmark,Database Management System Specialist (DBMS Specialist)
No,1,0.02,Denmark,Database Modeler
No,1,0.02,Denmark,Survey Data Technician
No,1,0.02,Denmark,Data Base Design Analyst
No,1,0.02,Denmark,Database Designer
No,1,0.02,Denmark,Database Administration Associate
No,3,0.05,Denmark,Database Specialist
No,1,0.02,Denmark,Health Data Analyst
No,1,0.02,Denmark,Data Management Information Technology Specialist
No,3,0.05,Denmark,Data Officer
No,1,0.02,Denmark,Data Typist
No,1,0.02,Denmark,Data Warehouse Architect
No,1,0.02,Denmark,Medical Data Analyst
No,1,0.02,Denmark,Database Coordinator
No,1,0.02,Denmark,Data Systems Manager
No,1,0.02,Denmark,Data Warehouse Developer
No,1,0.02,Denmark,Automatic Data Processing Planner
No,2,0.04,Denmark,Data Processing Consultant
No,3,0.05,Denmark,Data Communications Software Consultant
No,1,0.02,Denmark,Data Scientist
No,1,0.02,Denmark,Data Operations Director
No,1,0.02,Denmark,Electronic Data Processing Auditor (EDP Auditor)
No,2,0.04,Denmark,Automatic Data Processing Planner (ADP Planner)
No,1,0.02,Denmark,Data Processing Manager
No,1,0.02,Denmark,Data Processing Auditor
No,3,0.05,Denmark,Oracle Database Administrator (Oracle DBA)
No,1,0.02,Denmark,Data Manager
No,1,0.02,Denmark,SQL Database Administrator
No,1,0.02,Denmark,Director of Data Operations
No,1,0.02,Denmark,Database Consultant
No,1,0.02,Denmark,Database Security Expert
No,1,0.02,Denmark,Databases Computer Consultant
No,1,0.02,Denmark,Field Traffic Data Technician
No,1,0.02,Denmark,Data Transcriber
No,1,0.02,Estonia,Database Administration Manager
No,1,0.02,Estonia,Data Entry Supervisor
No,1,0.02,Estonia,Geographic Information Systems Data Specialist (GIS Data Specialist)
No,1,0.02,Estonia,Data Collection Technician
No,1,0.02,Estonia,Data Base Design Analyst
No,1,0.02,Estonia,Data Management Information Technology Specialist
No,1,0.02,Estonia,Data Operations Director
No,1,0.02,Estonia,Database Manager
No,1,0.02,Estonia,Data Processing Supervisor
No,1,0.02,Estonia,Director of Data Operations
No,4,0.07,Spain,Data Reduction Technician
No,3,0.05,Spain,Data Processing Equipment Repairer
No,1,0.02,Spain,Data Keyer
No,9,0.16,Spain,Data Coordinator
No,1,0.02,Spain,Data Conversion Operator
No,2,0.04,Spain,Data Communications Technician
No,4,0.07,Spain,Database Marketing Analyst
No,3,0.05,Spain,Naval Tactical Data System--Combat Information Center Officer
No,2,0.04,Spain,Database Administration Project Manager
No,7,0.12,Spain,Database Security Administrator
No,1,0.02,Spain,Flight Data Technician
No,2,0.04,Spain,Database Tester
No,4,0.07,Spain,Weight in Motion Field Data Collection Technician
No,1,0.02,Spain,Clinical Data Specialist
No,9,0.16,Spain,Electronic Data Interchange System Developer (EDI System Developer)
No,2,0.04,Spain,Data Administrator
No,1,0.02,Spain,"Operations Officer, Afloat (Naval Tactical Data Systems)"
No,2,0.04,Spain,Data Processing Auxiliary Equipment Operator
No,10,0.18,Spain,Database Engineer
No,4,0.07,Spain,Data Storage Specialist
No,1,0.02,Spain,SCADA Technician (Supervisory Control and Data Acquisition Technician)
No,5,0.09,Spain,Database Administration Manager
No,9,0.16,Spain,Data Management Associate
No,7,0.12,Spain,Data Modeling Specialist
No,1,0.02,Spain,Maintenance Data Analyst
No,6,0.11,Spain,Database Software Technician
No,1,0.02,Spain,Crime Data Specialist
No,6,0.11,Spain,Head of Information Systems and Data Processing
No,1,0.02,Spain,Data Entry Supervisor
No,4,0.07,Spain,Data Warehousing Engineer
No,3,0.05,Spain,Data Warehousing Specialist
No,5,0.09,Spain,Geographic Information Systems Data Specialist (GIS Data Specialist)
No,11,0.19,Spain,Database Development and Administration Project Manager
No,7,0.12,Spain,Data Warehouse Analyst
No,2,0.04,Spain,Field Artillery Automated Tactical Data System Specialist
No,1,0.02,Spain,Data Input Clerk
No,10,0.18,Spain,Database Management System Specialist (DBMS Specialist)
No,1,0.02,Spain,Data Recovery Planner
No,1,0.02,Spain,Database Modeler
No,1,0.02,Spain,Survey Data Technician
No,6,0.11,Spain,Data Base Design Analyst
No,3,0.05,Spain,Flight Test Data Acquisition Technician
No,2,0.04,Spain,Clinical Data Associate
No,1,0.02,Spain,Data Reviewer
No,1,0.02,Spain,Data Analysis Assistant
No,2,0.04,Spain,Database Designer
No,1,0.02,Spain,Data Processing Mechanic
No,1,0.02,Spain,Data Management Manager
No,7,0.12,Spain,Database Administration Associate
No,1,0.02,Spain,Data Entry Machine Operator
No,7,0.12,Spain,Geographic Information Systems Data Manager (GIS Data Manager)
No,1,0.02,Spain,Database Technician
No,4,0.07,Spain,Database Design Analyst
No,2,0.04,Spain,LiDAR Data Analyst
No,4,0.07,Spain,Database Specialist
No,2,0.04,Spain,Health Data Analyst
No,2,0.04,Spain,Clinical Data Management Manager (CDM Manager)
No,7,0.12,Spain,Databases Software Consultant
No,5,0.09,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security)
No,5,0.09,Spain,Data Management Information Technology Specialist
No,2,0.04,Spain,Data Officer
No,1,0.02,Spain,Data Typist
No,8,0.14,Spain,Data Warehouse Architect
No,7,0.12,Spain,Data Warehouse Specialist
No,1,0.02,Spain,Medical Data Analyst
No,9,0.16,Spain,Database Coordinator
No,10,0.18,Spain,Data Systems Manager
No,2,0.04,Spain,Data Warehouse Developer
No,8,0.14,Spain,Automatic Data Processing Planner
No,5,0.09,Spain,Data Processing Consultant
No,9,0.16,Spain,Data Communications Software Consultant
No,7,0.12,Spain,Data Scientist
No,4,0.07,Spain,Data Operations Director
No,2,0.04,Spain,Data Processing Clerk
No,6,0.11,Spain,Electronic Data Processing Auditor (EDP Auditor)
No,1,0.02,Spain,Internet Database Specialist
No,1,0.02,Spain,Data Entry Representative
No,8,0.14,Spain,Data Security Analyst
No,8,0.14,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator)
No,5,0.09,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)"
No,11,0.19,Spain,Automatic Data Processing Planner (ADP Planner)
No,8,0.14,Spain,Database Manager
No,3,0.05,Spain,Data Compiler
No,8,0.14,Spain,Data Processing Manager
No,2,0.04,Spain,Micro Computer Data Processor
No,1,0.02,Spain,Database Development Project Manager
No,2,0.04,Spain,Data Processing Supervisor
No,1,0.02,Spain,Analytical Data Miner
No,7,0.12,Spain,Data Processing Systems Project Planner
No,2,0.04,Spain,Data Technician
No,1,0.02,Spain,Data Modeler
No,2,0.04,Spain,Business Database Analyst
No,1,0.02,Spain,Data Entry Operator
No,1,0.02,Spain,Datastage Developer
No,7,0.12,Spain,Database Architect
No,1,0.02,Spain,Data Examination Clerk
No,1,0.02,Spain,SCADA Operator (Supervisory Control and Data Acquisition Operator)
No,3,0.05,Spain,Data Processing Auditor
No,5,0.09,Spain,Data Communications Analyst
No,2,0.04,Spain,Scientific Database Curator
No,7,0.12,Spain,Oracle Database Administrator (Oracle DBA)
No,5,0.09,Spain,Data Warehousing Manager
No,4,0.07,Spain,Data Sciences Director
No,1,0.02,Spain,Clinical Data Abstractor
No,7,0.12,Spain,Data Architect
No,1,0.02,Spain,Data Control Clerk Supervisor
No,7,0.12,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator)
No,5,0.09,Spain,SQL Database Administrator
No,9,0.16,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison)
No,8,0.14,Spain,Director of Data Operations
No,3,0.05,Spain,Data Miner
No,3,0.05,Spain,Database Consultant
No,6,0.11,Spain,Database Security Expert
No,9,0.16,Spain,Data Processing Systems Analyst
No,1,0.02,Spain,Data Analyst
No,4,0.07,Spain,Databases Computer Consultant
No,9,0.16,Spain,Data Security Administrator
No,2,0.04,Spain,Voice and Data Technician
No,1,0.02,Spain,Reference Data Expert
No,1,0.02,Spain,Database Developer
No,2,0.04,Spain,Clinical Data Manager
No,1,0.02,Spain,Field Traffic Data Technician
No,8,0.14,Spain,Computer or Data Processing Systems Consultant
No,2,0.04,Spain,Data Transcriber
No,2,0.04,Finland,Data Reduction Technician
No,3,0.05,Finland,Data Coordinator
No,3,0.05,Finland,Database Marketing Analyst
No,1,0.02,Finland,Naval Tactical Data System--Combat Information Center Officer
No,2,0.04,Finland,Database Tester
No,1,0.02,Finland,Data Administrator
No,1,0.02,Finland,SCADA Technician (Supervisory Control and Data Acquisition Technician)
No,3,0.05,Finland,Database Administration Manager
No,2,0.04,Finland,Data Modeling Specialist
No,2,0.04,Finland,Database Software Technician
No,1,0.02,Finland,Data Warehousing Engineer
No,3,0.05,Finland,Geographic Information Systems Data Specialist (GIS Data Specialist)
No,1,0.02,Finland,Database Development and Administration Project Manager
No,1,0.02,Finland,Data Collection Technician
No,1,0.02,Finland,Data Analysis Assistant
No,1,0.02,Finland,Data Processing Mechanic
No,1,0.02,Finland,Database Administration Associate
No,1,0.02,Finland,Database Specialist
No,1,0.02,Finland,Clinical Data Management Manager (CDM Manager)
No,1,0.02,Finland,Databases Software Consultant
No,1,0.02,Finland,Data Management Information Technology Specialist
No,2,0.04,Finland,Data Officer
No,1,0.02,Finland,Database Coordinator
No,1,0.02,Finland,Data Warehouse Developer
No,1,0.02,Finland,Data Processing Consultant
No,1,0.02,Finland,Data Operations Director
No,2,0.04,Finland,Electronic Data Processing Auditor (EDP Auditor)
No,1,0.02,Finland,Data Entry Representative
No,1,0.02,Finland,Data Security Analyst
No,1,0.02,Finland,Geographic Information Systems Data Administrator (GIS Data Administrator)
No,1,0.02,Finland,Automatic Data Processing Planner (ADP Planner)
No,1,0.02,Finland,Database Manager
No,1,0.02,Finland,Data Processing Manager
No,1,0.02,Finland,Database Development Project Manager
No,1,0.02,Finland,Datastage Developer
No,2,0.04,Finland,Data Processing Auditor
No,1,0.02,Finland,Data Communications Analyst
No,2,0.04,Finland,Oracle Database Administrator (Oracle DBA)
No,1,0.02,Finland,Data Manager
No,1,0.02,Finland,Automatic Data Processing Customer Liaison (ADP Customer Liaison)
No,2,0.04,Finland,Director of Data Operations
No,1,0.02,Finland,Database Consultant
No,1,0.02,Finland,Databases Computer Consultant
No,1,0.02,Finland,Computer or Data Processing Systems Consultant
No,1,0.02,Finland,Data Transcriber
No,1,0.02,France,Data Reduction Technician
No,2,0.04,France,Database Analyst
No,6,0.11,France,Data Coordinator
No,1,0.02,France,Data Communications Technician
No,8,0.14,France,Database Marketing Analyst
No,3,0.05,France,Data Entry Clerk
No,1,0.02,France,Naval Tactical Data System--Combat Information Center Officer
No,2,0.04,France,Database Security Administrator
No,7,0.12,France,Database Tester
No,1,0.02,France,Clinical Data Specialist
No,1,0.02,France,Clinical Data Management Associate Director
No,4,0.07,France,Electronic Data Interchange System Developer (EDI System Developer)
No,3,0.05,France,Data Administrator
No,1,0.02,France,"Operations Officer, Afloat (Naval Tactical Data Systems)"
